model,sequence_length,hidden_size,num_layers,fc_size,train_loss,validation_loss,validation_accuracy,training_time_sec,inference_time_sec,parameters,model_size_MB
LSTM,50,256,1,128.0,1.2961011226071875,1.3561182610617926,0.5835996933684197,140.6389195919037,0.11385607719421387,375169,1.4311561584472656
LSTM,50,256,2,,1.2646643603537213,1.323137359634871,0.593081064603329,199.70448803901672,0.1551966667175293,876929,3.3452186584472656
LSTM,50,256,2,128.0,1.2750772919028617,1.3260831144850485,0.5906827035580919,215.98700523376465,0.15953993797302246,901505,3.4389686584472656
GRU,20,128,1,,1.4673572223095694,1.4890387795365412,0.5482461055698756,78.95105481147766,0.036712646484375,87041,0.3320350646972656
GRU,20,128,1,128.0,1.4289291472831023,1.4539975959442157,0.5545578841196906,85.6225655078888,0.04019331932067871,103553,0.3950233459472656
GRU,20,128,2,,1.4128067725692923,1.442786368637063,0.5600134483917965,88.45513463020325,0.0446774959564209,186113,0.7099647521972656
GRU,20,128,2,128.0,1.402823726172291,1.434677091280209,0.5610220777765326,82.5011236667633,0.04672980308532715,202625,0.7729530334472656
GRU,20,256,1,,1.4144441746899348,1.4509422765746585,0.5592513728566626,88.1209967136383,0.05953478813171387,268161,1.0229530334472656
GRU,20,256,1,128.0,1.4134340846691584,1.446240363949274,0.5558713437184803,98.6487283706665,0.06327319145202637,292737,1.1167030334472656
GRU,20,256,2,,1.4451922779145494,1.4753332898593536,0.5499495685307632,132.7338616847992,0.09028768539428711,662913,2.5288124084472656
GRU,20,256,2,128.0,1.450590717611256,1.4773347218079056,0.5486361089319736,129.6103971004486,0.09454584121704102,687489,2.6225624084472656
GRU,30,128,1,,1.4633205459029486,1.477859329267678,0.5531866250061639,68.76440691947937,0.0368504524230957,87041,0.3320350646972656
GRU,30,128,1,128.0,1.4250764430471243,1.4441240137497446,0.5596553594563215,74.51936912536621,0.04073762893676758,103553,0.3950233459472656
GRU,30,128,2,,1.4030882372948819,1.4282896633778779,0.5650078673797366,78.37562990188599,0.0473020076751709,186113,0.7099647521972656
GRU,30,128,2,128.0,1.3977850009513912,1.4243121526737836,0.566697897100949,84.12272071838379,0.04901862144470215,202625,0.7729530334472656
GRU,30,256,1,,1.4095994495237472,1.4379338814619964,0.5602739910253595,108.47288179397583,0.06938505172729492,268161,1.0229530334472656
GRU,30,256,1,128.0,1.4079642265357513,1.4419905816045084,0.5591667301735307,114.30680131912231,0.07313370704650879,292737,1.1167030334472656
GRU,30,256,2,,1.4300992187567578,1.4657781901061364,0.5541818149215728,154.99892020225525,0.11354327201843262,662913,2.5288124084472656
GRU,30,256,2,128.0,1.441080355399703,1.4730698767059915,0.5501831239101102,149.67060565948486,0.1170663833618164,687489,2.6225624084472656
GRU,50,128,1,,1.4550397071216254,1.47191966906814,0.5557966369150352,76.6836347579956,0.039220333099365234,87041,0.3320350646972656
GRU,50,128,1,128.0,1.4080199400940168,1.4410849038855618,0.559414351613178,82.23168015480042,0.041692256927490234,103553,0.3950233459472656
GRU,50,128,2,,1.390391829528215,1.4118300260686354,0.5688822740945627,86.26267910003662,0.05118560791015625,186113,0.7099647521972656
GRU,50,128,2,128.0,1.3896040570195547,1.418635825948748,0.5672549749180746,92.15132689476013,0.05304288864135742,202625,0.7729530334472656
GRU,50,256,1,,1.3973385712249158,1.4374932589301144,0.5632024171893002,130.36140990257263,0.09451913833618164,268161,1.0229530334472656
GRU,50,256,1,128.0,1.3948310581739314,1.428291059402098,0.5643231466496913,133.44838881492615,0.09752678871154785,292737,1.1167030334472656
GRU,50,256,2,,1.4306130810595195,1.462121921661457,0.5570608197463565,195.82346272468567,0.15400004386901855,662913,2.5288124084472656
GRU,50,256,2,128.0,1.4349011995241403,1.4599669674348366,0.5556531835441052,201.0398187637329,0.15879249572753906,687489,2.6225624084472656
