model,sequence_length,train_loss,validation_loss,validation_accuracy,training_time_sec,parameters,model_size_MB
RNN,10,0.16773384995758533,2.655994713306427,0.4381551362683438,3.1433990001678467,33517,0.12785720825195312
RNN,20,0.234702707213514,2.566315277417501,0.4694736842105263,2.5624639987945557,33517,0.12785720825195312
RNN,30,0.208465768697382,2.7242546041806537,0.47357293868921774,2.5691213607788086,33517,0.12785720825195312
LSTM,10,0.14214286024992664,2.322379557291667,0.45073375262054505,2.8530373573303223,108013,0.4120368957519531
LSTM,20,0.1255550227057533,2.4453556577364606,0.4694736842105263,2.86305832862854,108013,0.4120368957519531
LSTM,30,0.18105399226691543,2.4606011192003887,0.48625792811839325,2.871263265609741,108013,0.4120368957519531
GRU,10,0.10439218032794693,2.6168638944625853,0.4989517819706499,2.7177317142486572,83181,0.3173103332519531
GRU,20,0.11144939540814952,2.813543077309926,0.4968421052631579,2.708812713623047,83181,0.3173103332519531
GRU,30,0.11499260927887023,2.6251326223214466,0.47568710359408034,2.714766502380371,83181,0.3173103332519531
